project,config,erroneous_value
alluxio,alluxio.web.refresh.interval,-100
alluxio,alluxio.web.refresh.interval,0.05
alluxio,alluxio.web.refresh.interval,ABC
alluxio,alluxio.zookeeper.job.leader.path,-100
alluxio,alluxio.zookeeper.job.leader.path,0.05
alluxio,alluxio.zookeeper.job.leader.path,ABC
alluxio,alluxio.master.audit.logging.enabled,-100
alluxio,alluxio.master.audit.logging.enabled,0.05
alluxio,alluxio.master.audit.logging.enabled,ABC
alluxio,alluxio.master.embedded.journal.election.timeout,-100
alluxio,alluxio.master.embedded.journal.election.timeout,2147483648
alluxio,alluxio.master.embedded.journal.election.timeout,ABC
alluxio,alluxio.master.embedded.journal.storage.level,123
alluxio,alluxio.master.embedded.journal.storage.level,ABC
alluxio,alluxio.master.embedded.journal.storage.level,HHH
alluxio,alluxio.master.journal.checkpoint.period.entries,-100
alluxio,alluxio.master.journal.checkpoint.period.entries,0.05
alluxio,alluxio.master.journal.checkpoint.period.entries,9223372036854775808
alluxio,alluxio.master.journal.retry.interval,-100
alluxio,alluxio.master.journal.retry.interval,0.05
alluxio,alluxio.master.journal.retry.interval,ABC
alluxio,alluxio.master.journal.tailer.shutdown.quiet.wait.time,-100
alluxio,alluxio.master.journal.tailer.shutdown.quiet.wait.time,0.05
alluxio,alluxio.master.journal.tailer.shutdown.quiet.wait.time,ABC
alluxio,alluxio.master.jvm.monitor.enabled,-100
alluxio,alluxio.master.jvm.monitor.enabled,0.05
alluxio,alluxio.master.jvm.monitor.enabled,ABC
alluxio,alluxio.master.metastore.inode.cache.max.size,-100
alluxio,alluxio.master.metastore.inode.cache.max.size,2147483648
alluxio,alluxio.master.metastore.inode.cache.max.size,ABC
alluxio,alluxio.master.periodic.block.integrity.check.interval,-100
alluxio,alluxio.master.periodic.block.integrity.check.interval,0.05
alluxio,alluxio.master.periodic.block.integrity.check.interval,ABC
alluxio,alluxio.master.rpc.executor.keepalive,-100
alluxio,alluxio.master.rpc.executor.keepalive,0.05
alluxio,alluxio.master.rpc.executor.keepalive,ABC
alluxio,alluxio.master.rpc.executor.max.pool.size,-100
alluxio,alluxio.master.rpc.executor.max.pool.size,2147483648
alluxio,alluxio.master.rpc.executor.max.pool.size,ABC
alluxio,alluxio.master.standby.heartbeat.interval,-100
alluxio,alluxio.master.standby.heartbeat.interval,0.05
alluxio,alluxio.master.standby.heartbeat.interval,ABC
alluxio,alluxio.master.startup.block.integrity.check.enabled,-100
alluxio,alluxio.master.startup.block.integrity.check.enabled,0.05
alluxio,alluxio.master.startup.block.integrity.check.enabled,ABC
alluxio,alluxio.master.tieredstore.global.mediumtype,ABC
alluxio,alluxio.master.tieredstore.global.mediumtype,MEM
alluxio,alluxio.master.tieredstore.global.mediumtype,MEM; SSD; HDD
alluxio,alluxio.master.whitelist,;;;
alluxio,alluxio.master.whitelist,?;?;
alluxio,alluxio.master.whitelist,??
alluxio,alluxio.master.worker.timeout,-100
alluxio,alluxio.master.worker.timeout,0.05
alluxio,alluxio.master.worker.timeout,ABC
alluxio,alluxio.worker.block.heartbeat.interval,-100
alluxio,alluxio.worker.block.heartbeat.interval,0.05
alluxio,alluxio.worker.block.heartbeat.interval,ABC
alluxio,alluxio.worker.block.master.client.pool.size,-100
alluxio,alluxio.worker.block.master.client.pool.size,2147483648
alluxio,alluxio.worker.block.master.client.pool.size,ABC
alluxio,alluxio.worker.data.folder.permissions,hhhhhhhhh
alluxio,alluxio.worker.data.folder.permissions,r--------
alluxio,alluxio.worker.data.folder.permissions,rwx------
alluxio,alluxio.job.master.embedded.journal.addresses,ABC
alluxio,alluxio.job.master.embedded.journal.addresses,ABC:8080
alluxio,alluxio.job.master.embedded.journal.addresses,localhost:49015
alluxio,alluxio.job.master.rpc.addresses,ABC
alluxio,alluxio.job.master.rpc.addresses,ABC:8080
alluxio,alluxio.job.master.rpc.addresses,localhost:49015
alluxio,alluxio.jvm.monitor.info.threshold,-1sec
alluxio,alluxio.jvm.monitor.info.threshold,ABC
alluxio,alluxio.jvm.monitor.warn.threshold,-1sec
alluxio,alluxio.jvm.monitor.warn.threshold,ABC
alluxio,alluxio.locality.order,-100
alluxio,alluxio.locality.order,100
alluxio,alluxio.locality.order,ABC
alluxio,alluxio.network.connection.health.check.timeout,-1sec
alluxio,alluxio.network.connection.health.check.timeout,0sec
alluxio,alluxio.network.connection.health.check.timeout,ABC
alluxio,alluxio.proxy.stream.cache.timeout,-1sec
alluxio,alluxio.proxy.stream.cache.timeout,0sec
alluxio,alluxio.proxy.stream.cache.timeout,ABC
alluxio,alluxio.worker.data.folder.tmp,/alluxio_blocks
alluxio,alluxio.worker.data.folder.tmp,/var/alluxio_blocks
alluxio,alluxio.worker.file.buffer.size,-1MB
alluxio,alluxio.worker.file.buffer.size,0MB
alluxio,alluxio.worker.file.buffer.size,ABC
alluxio,alluxio.worker.network.netty.boss.threads,-1
alluxio,alluxio.worker.network.netty.boss.threads,0
alluxio,alluxio.worker.network.netty.boss.threads,ABC
alluxio,alluxio.worker.tieredstore.block.locks,-1
alluxio,alluxio.worker.tieredstore.block.locks,0
alluxio,alluxio.worker.tieredstore.block.locks,ABC
alluxio,alluxio.user.block.worker.client.pool.size,-1
alluxio,alluxio.user.block.worker.client.pool.size,0
alluxio,alluxio.user.block.worker.client.pool.size,ABC
alluxio,alluxio.user.file.create.ttl.action,-1
alluxio,alluxio.user.file.create.ttl.action,ABC
alluxio,alluxio.user.file.create.ttl.action,NONE
alluxio,alluxio.user.file.master.client.threads,-1
alluxio,alluxio.user.file.master.client.threads,0
alluxio,alluxio.user.file.master.client.threads,ABC
alluxio,alluxio.user.file.replication.min,-1
alluxio,alluxio.user.file.replication.min,ABC
alluxio,alluxio.user.network.netty.channel,0
alluxio,alluxio.user.network.netty.channel,ABC
alluxio,alluxio.user.network.netty.channel,NONE
alluxio,alluxio.user.short.circuit.enabled,-1
alluxio,alluxio.user.short.circuit.enabled,0
alluxio,alluxio.user.short.circuit.enabled,ABC
alluxio,alluxio.user.ufs.block.location.all.fallback.enabled,-1
alluxio,alluxio.user.ufs.block.location.all.fallback.enabled,0
alluxio,alluxio.user.ufs.block.location.all.fallback.enabled,ABC
alluxio,alluxio.security.group.mapping.cache.timeout,-1min
alluxio,alluxio.security.group.mapping.cache.timeout,-60min
alluxio,alluxio.security.group.mapping.cache.timeout,9223372036854775808min
alluxio,alluxio.master.rpc.executor.core.pool.size,-100
alluxio,alluxio.master.rpc.executor.core.pool.size,0.005
alluxio,alluxio.master.rpc.executor.core.pool.size,ABC
alluxio,alluxio.zookeeper.job.election.path,-100
alluxio,alluxio.zookeeper.job.election.path,/bad/bad
alluxio,alluxio.zookeeper.job.election.path,ABC
alluxio,alluxio.worker.allocator.class,-100
alluxio,alluxio.worker.allocator.class,ABC
alluxio,alluxio.worker.allocator.class,alluxio.worker.block.allocator.MaxFreeAllocatorCtestBad
alluxio,alluxio.master.audit.logging.queue.capacity,-100
alluxio,alluxio.master.audit.logging.queue.capacity,0
alluxio,alluxio.master.audit.logging.queue.capacity,ABC
alluxio,alluxio.master.backup.directory,-100
alluxio,alluxio.master.backup.directory,./alluxio_backups
alluxio,alluxio.master.backup.directory,/bad/bad
alluxio,alluxio.master.ufs.active.sync.interval,-100
alluxio,alluxio.master.ufs.active.sync.interval,0.001
alluxio,alluxio.master.ufs.active.sync.interval,ABC
alluxio,alluxio.user.rpc.retry.max.sleep,-1
alluxio,alluxio.user.rpc.retry.max.sleep,0.001
alluxio,alluxio.user.rpc.retry.max.sleep,ABC
alluxio,alluxio.master.worker.connect.wait.time,-1
alluxio,alluxio.master.worker.connect.wait.time,0.001
alluxio,alluxio.master.worker.connect.wait.time,ABC
alluxio,alluxio.user.block.avoid.eviction.policy.reserved.size.bytes,-1
alluxio,alluxio.user.block.avoid.eviction.policy.reserved.size.bytes,1000TB
alluxio,alluxio.user.block.avoid.eviction.policy.reserved.size.bytes,ABC
